sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A22RMVO4OIP86Z	Liver treats seem off...	I have fed the chicken and duck version of these--though now the reviews regarding china I find disturbing.<br /><br />Regardless, the beef liver version of these are not a hit with my pup and seem to be a very odd, plastic texture.<br /><br />The duck and chicken are both great--but I will be investigating the source of the food.	1	1
		AQE707L9GDYUF	Inconsistant freshness	We have been ordering this coffee for over a year and we like it better than any other coffees we have tried. Sometimes the beans are fresh and look oily. Other times they are dry and lack aroma. We were ordering direct from Coffee Bean Direct and got fresher coffee than the coffer we get from Amazon on the automatic ordering system to save money. I don't know if they warehouse the coffee longer than the Coffee Bean Direct or what. There is a difference. If the freshness does not improve soon We will go back to ordering from Coffee Bean Direct and paying more. When it is fresh it is a five-star coffee.	0	0
		A2YLKQJOGJ8R85	Grove Square Hot Cocoa	Does not have a rich chocolate flavor. Tastes a little watery. Not sure who a makes a great cocoa but this is not it.	0	0
		A84GFO7DMCO2U	Bad Smell + Bad Taste = AWFUL	I wasn't expecting anything spectacular, but the positive reviews on this product made me hopeful. While mixing the ingredients, a foul smell filled the kitchen. When I poured the batter into the waffle iron, the smell improved slightly. Again... hopeful. Yet while the texture resembled a waffle, the taste was so bad I spit it out immediately. No syrup/whipped creme/fruit can cover up the taste. Skip the batter and try the Atkins Caramel Chocolate Nut Roll instead. Tastes just like a Baby Ruth :)	4	3
		A1E80QJ5PPLC7N	Excellant Product	I have never been able to get adult cats to take pills very easily until know.  This product makes taking pills a treat for cats.  It's just wonderful no more fighting to get my cat to take necessary medicine.	1	0
		A1JHW6YMGLJQLC	Almost too strong!	My biggest gripe with the Keurig pods is that the coffee is too weak so I always try the bold varieties.  I think I met my match with this one though. Its almost too strong for me.  I take my coffee black and this one has just a hint of bitterness. I have to use the tallest coffee cup setting when I use this pod.  Dont get me wrong...its a good cup of joe but for my taste I think I like the Emerill bold pods a tad better.<br /><br />On the plus side you can often reuse this pod for a second cup as its strong enough to still make a good cup second time around.	11	0
		A1D3FXS4MWT6JM	My cats LOVE this!	I have 7 cats, ranging in age from 15 years, down to 2 years & they ALL LOVE THIS!  I used to feed them another brand of food (they're all indoor cats) & when I introduced them to this food, they couldn't get enough of it!  They've been eating this food EXCLUSIVELY for at LEAST 7 years now (obviously, the younger ones have been eating it for less time) & NONE of them has EVER been sick from it!	1	0
		A29BXBSJW26CS2	Baking Soda	Bob's Red Mill Baking Soda is an excellent product for baking with or making your own toothpaste.<br />It is aluminum free and free of any other harmful chemicals. We use it as a safe/legal product<br />on the Specific Carbohydrate Diet in healing my boys with ASD and healing my own fibromyalgia<br />as we have difficulty ridding our body of harmful toxins in foods.	8	0
		A3UGMFQAD5IJN0	A perfect ghee!	This organic, grass-fed ghee embodies everything that a modern, healthful food should be. It is tasty, healthful, fresh, and lovingly produced by hand in small batches and according to ages-old methods and principles.<br /><br />I began using this ghee as a part of a transition to eating more healthy, home-cooked foods. More recently, I participated in an Ayurvedic cleanse that required that I take 1/4 cup of plain, warm ghee for several mornings straight! Though this can be an unpleasant experience with ghee of lower quality, the Pure Indian Foods ghee was truly delicious. The flavor is clean and sweet, without any of the harshness or overbearing unctuousness of other ghees (even those labelled as organic). And not a hint of rancidity, to which I'm very sensitive.<br /><br />Only unhomogenized milk is used for this ghee, which is unusual and extremely beneficial. Homogenization alters the structure of milkfats and adversely impacts their bioavailability and handling in the blood. This attention to the quality of raw materials is just one example of this company's dedication to their customers' health.<br /><br />Highly recommended.	12	0
		A3BLNKGV0FQG3K	Yummy, but expiring	We liked the product, my kids thought they were wonderful, but I was bummed to see that the sell by date on the cookies was less than 30 days from the date that I received them.  How can we eat 12 bags of cookies in that amount of time?  We won't and they will get stale.  I thought that was lousy.	13	2
		AMICVVFSEDRE	Best deal for prepackaged Stevia	I like the quality of the product over all that I have tried.  Nothing but good ingredients and not overly sweet..good balance.  I will definitely buy again.  Use it every day.	1	0
		A19S0T41IJIQI3	Tea?  What Tea?	Honestly, that's what I thought throughout trying this tea.  The smell and taste is entirely of cinnamon.  I couldn't ever taste the tea- and even in my smallest cup it tasted weak and watery.<br /><br />If you want caffeinated cinnamon, go for it.<br /><br />If you want true chai... look elsewhere.<br /><br />PS.  What's with the size of the bags?  Not even 2 grams per bag.  Even for American-style tea bags, this is small.	3	2
		A1ED3ABQD627TY	Disappointed in STASH PREMIEUM TEA	STASH PREMIUM TEA has little to no taste, depending on the flavor used.  The Decaf Chocolate Hazelnut Tea has absolutely NO flavor even when I try 3 tea bags to a cup of boiling water. I purchased 6 - 18 count boxes.  I had tried a hot chocolate tea in one of our little delis and it was wonderful.  I don't remember the name of the tea.  I don't know if this is common for STASH tea or if I received an old batch.  I'm sitting here with over 100 tea bags with absolutely no flavor.<br /><br />If you're looking for a tea with flavor, I would discourage your using this tea.	0	0
		AGARST1GFFKFC	Didn't help with severe menstrual cramps	I took it for a few months and I didn't notice any difference. I drank 2-3 cups a day for at least a week before my periods but it still didn't help. I had severe menstrual cramps though. By severe I mean the kind that make you throw up before pain killers start working, feel like you're going to pass out, and writhe in such pain that you are unable to do even the simplest things. This tea probably won't help if you have it that bad.	1	0
		ARYFEV09RAOYM	Quick and Tasty! Best Noodles!	These noodles are very quick to make and quite tasty. It comes with dried vegetables and a spicy seasoning.  It can be made in less than 8 minutes on the stovetop. 3 minutes for water to boil and 5 minutes to cook.<br /><br />I am a fan of spicy foods but these noodles can be a little too spicy. I use about half the packet to cut back on the spiciness and sodium.<br /><br />If you need something quick, easy and tasty to make for a meal this is definitely it!	1	2
		A3G2CX49XSEE6B	Energizing	I had purchased this tea months ago at Whole Foods and was delighted to see that it is on Amazon. I don't know much about tea, and this is not the best I've ever tasted, but it is very energizing.	0	0
		A22QNCSBRC8Y9Y	Disappointing	"This purchase disappointed me for two reasons.<br /><br />First, I had never before tried the redskin version of Feridies Virginia peanuts, and I found them to be more like regular peanuts (like Planters) in both size and texture than the large, super-crunchy Virginia variety I was expecting.<br /><br />Second, the peanuts in the cans were a bit on the stale side.  Unfortunately, this is a frequent problem with nut cans that are sealed with those flimsy foil tops, but this was the first time I had encountered any degree of staleness with Feridies products.<br /><br />When I ordered these redskin peanuts, I also placed a separate order for the regular (non-redskin) Feridies Virginia peanuts, and they seemed perfectly fresh.  My guess is that the cans of redskins had been languishing on the shelf for a bit too long.  It would have been helpful to find some kind of ""sell by"" label on the cans, as the Virginia peanuts from Harry & David always have."	1	0
		A3BU6Q0EI9DJU1	Great On the Go Breakfast	I really enjoyed this cereal bar. The banana nut bread flavor tasted authentic and not at all like banana flavoring. It was moist and dense, an all around great bar.	0	0
		A1W4SKEQY8Q9K6	wrong quantity	The boxes contain 12 sausages each,not 24, which means I received half of what the description says. I was charged for 24 but only received 12. I contacted amazon and they say they will credit my acct. for the right amount.	1	0
		A2WRMO5KKZ5APC	Healthy, tasty tea. Good sweet or unsweetened, hot or cold.	"When we were kids, our mother always kept pitchers of barley tea in the fridge. Last year, I came across a box at an Asian grocery store and now can't imagine life without it. We live over 100 miles from the Asian store so are happy to have found it here on Amazon.com ... and hope they stop carrying it!<br /><br />Pros:<br />* Flavor - Don't use more water than instructed for each teabag. It's got a subtle, nutty flavor.<br />* Caffeine-free. One cup of tea or coffee can keep me awake all night, so this keeps me from wrecking my sleep schedule.<br />* Lots of health benefits (I won't go into it here, but you can Google for info.)<br />* Good hot or cold. In winter, we keep a pot on the stove and drink it all day. In summer, it's great refrigerated.<br />* Sweetened or unsweetened. You can make this tea appealing to kids by sweetening; we use a mixture of brown sugar and <a href=""http://www.amazon.com/gp/product/B00445K4JY"">Splenda No-Calorie Sweetener with Fiber</a>.<br /><br />Cons:<br />Can't think of any!<br /><br />We'll be needing to move up our next Subscribe & Save shipment!"	0	0
		A2VEWMANJF5XO8	Excellent tea	This is a very pleasant tea for anyone that enjoys a decaf tea. Nice to drink in the evening since it doesn't contain caffeine. It is a softer tea than Earl Grey and has a mild citrus flavor that is refreshing.	1	0
		A3PRVC4V2CZAPR	Tastes AMAZING, buuut...is it worth it?	"PROS: this product TASTES and FEELS like REAL peanut butter. I would pay double...if I could deal with the cons:<br /><br />CONS: Gas. Horrible, horrible gas. And not just me - everyone who I know who has tried it experienced mind-blowing flatulence within 36 hours. And not just ""bad"" gas - we're talking about the kind you wish you could summon when the cop leans into your window and says ""license and registration?""<br /><br />I wish I could continue to use this product...but I can't even stand MYSELF the next day, and seriously, that's bad: everyone usually loves their own brand!"	30	5
		A2LN5DDGT21310	THESE ARE VERY GOOD	These chips are VERY GOOD!! I couldn't stop eating them. They didn't last very long.<br /><br />The reason I gave them 4 stars, instead of 5, is because I think the bags are a little hard to open. I'm not sure why they need to make a potato chip bag that sturdy, you may need some scissors on hand to open them much easier.	2	3
		A11QSEA6DZM4FZ	radtechmom	Our beautiful Belle loves her daily toothbrush treat. Amazon provides an awesome price and delivers them to our doorstep. That makes it even handier. The Greenies are a proven winner for a more natural breath freshening dog treat. Too bad Greenies doesn't get more 'green' with their packaging and lose the outer box that they use. The sealed inside bag would be plenty good enough. It keeps the treats fresh and takes up less space. The first thing we do is toss the box out--- what a waste!	0	0
		A14ENWEKTHCBXR	Yummy	These are great!!!  Just takes a little time to get the wax-paper off the candy:(	0	0
		AN31VL4F0KYQ5	AWESOME PRODUCT!	"I am a college student of health sciences and the mother to a 3 yr old toddler. I personally show very little response to ""placebo effect"" situations and I am a true skeptic at heart. I originally found the ""kid"" version of this product for my daughter while searching for something to boost her immune system. I spent hours on the computer researching the ingredients of these products. I decided to try the adult version for myself and I can honestly say that the Amazing Grass Superfood Powders have made a huge improvement in both of our lives.<br /><br /> My daughter attends daycare and with that setting comes frequent colds/flus, some serious. She spent the better part of each month with varying degrees of sickness. Since we have using the Superfood Powders (months), neither she nor I have gotten sick. We spent time with my parents who were both very ill while she and I remained in good health.<br /><br /> I have a greater amount of energy since using this product as well. I have chronic fatigue but the effects are greatly reduced since drinking this powder. It is also nice to know that my body is getting the nutrients it needs to perform well. It is difficult to include all the necessary foods in your diet that your body needs to thrive but the Amazing Grass products take care of that.<br /><br />Who cares whether or not it tastes ""just like chocolate milk""? It isnt meant to be sold as a dessert drink. It is meant to keep you healthy. I mix one scoop of powder with 8 oz of almond milk and add 1 tsp of Ovaltine. It tastes great. No, it doesnt taste just like chocolate milk but it is definitely palatable and does not need to be consumed ""fast"". Anyone who has tasted pure Spirulina powder can agree that this is MAJORLY masking the flavor of its healthy ingredients!!<br /><br />Overall, EXCELLENT product! I am getting ready to purchase my 4th jar!"	2	0
		A1MSA051FI91A5	YUM	Mixed nicely and quickly with immersion blender, smooth and tasty. I used almond milk instead of water. Even more delicious if you add i/2 frozen banana. Amazon's price now is better than my local HFS, too.	1	0
		AR33KU52LIBF1	Good coffee, but additives leave aftertaste	There is a nice strong coffee flavor and the right amount of sweetness to the drink but the additives leave an acidic aftertaste that is a little off-putting.  Maybe a little cream or vanilla flavoring could help?	0	0
		A1XSW5X7EWLD9R	Not bitter? Says you . . .	I've had my Keurig for about two years and love the Bold coffees.  As any Keurig owner will tell you, with the Keurig, you have to buy Bold to get a decent strength or flavor to your coffee.  I usually buy the Newman's Own Bold (unfortunately no longer available on Amazon) or other similar flavors like Green Mountain's Nantucket Blend.  Unfortunately, Green Mountain isn't yet available on the Subscribe & Save program.  I was very excited to try Emeril's after reading the glowing reviews, in particular because there were several mentioning how smooth and non-bitter it is.  Many of the Bold K-Cup flavors tend to be bitter.  My excitement lasted until my first taste where I discovered a bold coffee with sour and bitter undertones.  It's not so bad that I won't finish it but I will not buy it again.	0	0
		A2UGCA3LV9U449	As good as Starbucks!	This is the best Chai Tea Latte I have ever found.  I use skim milk instead of water, although water is fine, but I find that the skim milk give it the Starbucks taste.  I also use 2 cups of milk instead of the recommend 1 cup as it is to sweet for my taste with only 1 cup.  The tea latte taste is still there but I think it's the milk that makes it.  I would recommend this to anyone as I have not found any better	1	0
		A3K6I223PR0PMX	This is Halvah?	Been eating Halvah for 64 years now and this is the worst thing I have ever tasted that is called Halvah.  Dry, crumbly, falls apart and tastes like ground up cardboard.	2	0
		A2YX2F3H3689BM	Nothing Special	I expected better from a premium Maine chowder. This is no better than, say, Snow's, which you can get for less than half the price. Not bad, but not worth the money.	0	0
		A3TLHOKVUV1TU6	Hurricane Stock	Great shelf life and you can make it so many different ways. It is great to have when we know there is a storm on the way here in Florida.	12	0
		AUGU89R1XNKX9	Weak, as usual for this brand	I bought this recently, not paying attention to brand.  When I got it home, I realized it was Stash, and thought, oh, no, here comes the weak tea!<br /><br />Indeed, as with other of their teas, it is weak.  I used up almost the entire box of tea bags to make a pitcher full of iced tea, and it was still pretty weak in flavor.  When I've made hot tea with it, I need two tea bags.<br /><br />The flavor is ok--I love the tartness of hibiscus and the raspberry--but it's really just too weak overall.  Will not purchase again.	0	1
		A1QFM9CFEUXZK5	Tasty snack!	If you're like me, sometimes you might just crave the taste of chocolate, despite the fact that you really know you shouldn't eat any (assuming it's not on your eating plan)!<br /><br />Well, if that's the case, than these Emerald Cocoa Roast Almonds will alleviate those cravings while providing a healthy snack chock full of protein and healthy fats.<br /><br />I only ate 5 of these almonds and was completely satisfied. The cocoa has a subtle, yet tasty, chocolaty flavor and the almonds tasted fresh.<br /><br />My son, though, really enjoys these nuts and eats 'em by the handful.  This is a good product I'd completely recommend.	17	1
		A2Y0FKOY6WE0NQ	"Do they have to ""bite back""?"	I want to like Kettle because they contain no corn oil or soybean oil (which are both GMO, and also my kids are allergic to corn and soy), but darnit, these things bite back! On the plus side, the sharpness of them may keep you from mindlessly enjoying too many. On the minus side, a mouthful of cuts and scratches is not worth it. Do they have to be SO hard and crunchy? What's wrong with simply light and crispy? I vastly prefer Lay's texture, but suffer with Kettle due to the absense of GMOs and corn/soy. I wish they'd come out with something less harsh on the mouth, though.	0	0
		A3TR02DDNFLXUE	Disgusting taste!! But hilarious!	As the title says, these wasabi gumballs were reaaally gross tasting. I tried one and only got through 5 or 6 chews before I had to spit it out.<br /><br />I got them as a stocking stuffer for Xmas and it was fun receiving them and I was excited to try them as I like trying unusual foods, etc. It was also fun getting my fiance to try one, knowing how gross they were and knowing that he had an even lower tolerance for gross tastes, hahah. After that I threw the rest out because I knew no one would eat them.<br /><br />So I agree with the previous reviewers who say this is great for a gag gift, but bad if you are seriously looking to buy for gum to chew.	1	0
		AMZCZBK1EF1PV	Ok, not the best	"I bought both this tuna, and <a href=""http://www.amazon.com/gp/product/B001SB8AZC"">Wild Planet Sustainably Caught Wild Skipjack Light Tuna, 5 Ounce Cans (Pack of 12)</a> at the local grocery. Normally, I like a olive-oil pack tuna, like Cento, but I want to eat less Mercury, also be less disruptive to ocean ecosystems. Waters off the NW U.S. tend to be lower mercury than other oceans. The American tuna claims to be pole caught, which *is* sustainable. But skipjack is a faster growing fish, and the current population is sustainable.<br /><br />Regarding taste, the American Tuna was a dense and slightly dry hunk of fish surrounded by some fish juice and oil. The consistency was a little like canned salmon. It tasted ok from the can, but once mixed into a salad with chickpeas, it was a little too catfood-like.<br /><br />If you are in the market for sustainable + lower mercury tuna, I think the Wild Planet Skipjack tastes better."	5	2
		A3TNR75V00OM40	Gas	We had given our dogs (two beagles) beneful for a while.  They had *constant* gas.  We wrote it off as just normal.<br /><br />Well, we had to switch dog food brands for health reasons, and the gas stopped IMMEDIATELY!!  Do not give your dogs this dry dog food unless you own and want to constantly wear a gas mask!	4	1
		A3MGKO0T3DV8IV	"Not ""everlasting"""	I picked up several bento balls and large treat balls with these treats. I have a: one year old half Timber Wolf, half German Shepherd; seven year old retired bomb detection German Shepherd, 11 month old Lab/terrier mix, and 8 month old Smooth Collie. The treats were out of the balls within minutes and demolished in under 30 minutes. I had put several smaller treats into the ball as well, so after they finished the larger treats, they managed to be entertained by trying to get the small treats out. There hasn't been much that the pack hasn't been able to figure out.<br /><br />We regularly give them fresh deer bones as treats. The wolf will strip the meat while the shepherd will eat the bones, so I didn't expect these treats to be a true challenge for their jaw pressure and mental abilities. I will continue to get them and try other various tricks out. Some include putting the disc in upside down and adding peanut butter or other purees into the balls. The treats may not last long, but the balls will allow for some creative training.	2	0
		A12LMMWSZTNLZV	Not much taste but LOADS of salt	"I love peanuts and I also love salt but these nuts have very little taste EXCEPT salt.  Believe me, there is not much that I consider ""too salty"" but these certainly qualify.  Also, as another reviewer mentioned, they are bland - not peanut-y.  Trader Joe's ""blister peanuts"" are far superior to these. Indeed, I think a commercial brand like Planters is probably superior (and much cheaper).  After this purchase, I am still on the lookout for peanuts better than I can purchase in the grocery store.<br />Sorry I got them."	1	2
		A1NX49A26OI9V0	Good Product - Bad Price	You get a small amount of candy for a large price. Look elsewhere this product is cheaper through other sources.	2	1
		A3KXLJJPWF3JX3	It's an okay nostalgic candy	The world's bubble gum cigarettes were frowned upon, but later enjoyed by my family. They were kind of hard at first, but quickly became softer.<br />The bubble gum however was a little flavorless and had a nasty flavor at the end...	1	0
		A2C64W88KUQKYO	Teenie Greenies	"My little dogs really like these ""teenie"" Greenies dental chewies. Not only are they good for the dogs' teeth, the dogs consider them a treat! I am not able to find these really small Greenies elsewhere; the smallest I can find in the stores are ""petites"" which are too large for these little dogs to chew.  So, thank you for making these available.  I was very pleased with the service; these arrived here quickly and in excellent condition!  I will order from this website again!"	1	0
		A2PL4KZQJ0VFOB	Over all, fairly good	I have tried spiced chai tea, but it did not have enough spices. I also tried a mix where you just add water, but they were too sweet. I prefer a stronger spice flavor and I like to be able to control the amount of milk and sugar. So, I usually make my own chai spiced tea from scratch. I get just the right amount of ingredients, but it is a lot of trouble and takes time.<br /><br />Then I tried the Stash Double Spiced Chai Tea. With more spice than most other teas I found the flavor and intensity to be fairly close to my home-made chai. This chai tea is able to maintain the flavor of the black tea with a nice blend of spices that give it a little extra kick with the double-spice. Of course, with more spices comes more bitterness. The way to lessen the bitterness is to slightly increase the milk and sugar. A better way to help cut the bitterness is to use honey instead of sugar.<br /><br />I will still make my own home-made version when I have the time to make it. But, I will also use this Stash Double Spice Chai Tea as an alternative until I find something better.	2	0
		A1U1RG7A8XAFGM	Great granola! Incorrection nutrition information on Amazon	This is a great gluten-free granola. I enjoy it with yogurt and fruit and with soy milk and fruit. I am excited to try making a gluten-free fruit crisp with it. I was dissapointed that the nutrition information on Amazon's site was inaccurate. There is less fiber and more sugar in the product than listed. However, I will still continue to purchase this delicious granola. My husband and son who don't have to follow a restrictive diet also enjoy it.	0	0
		A360EFJOE4L7IZ	Fine Food for Diverse Cats	I have two special needs cats.  One is very small and could stand to gain weight.  The other is too large and needs to loose weight.<br /><br />The smaller cat likes this food. The overweight cat does not over eat on the food, which is a plus for us.<br /><br />We tried Wellness, C&P Organix, Innova Evo (they loved the dry food), Pet Promise, the Whole Foods brand and a few others.  Our cats did not like those brands of food.  Some they wouldn't even eat.<br /><br />They prefer the chicken and salmon brand to the other Newman's Own canned cat food flavors.<br /><br />Pros:<br />* Organic<br />* Peace of mind for the cat owner<br />* Liked by cats with 'special needs'<br />* Preferred over other brands by two very different cats<br />* When I open some canned cat foods, the smell nauseates me. The smell of this brand doesn't have the same effect.<br /><br />Cons:<br />* None that I can think of<br /><br />Bottom line:  This is a good organic canned cat food.  Cats differ in their food preferences.  It's a good idea to give this one a try.  By the way, for a while, one or more of the flavors were only available in the smaller cans.  If that is still the case, you may want to try those flavors as well.	8	0
		A1BEMKOWN1TJK4	Made in China	I wish I had known these were made in China, I never would have bought them. There is currently an epidemic of illness and death related to pet foods manufactured in China, including products by this manufacturere (Cadet). These are going in the garbage.	5	0
		A262SWHVXZUZZD	Very average at best	This tea is slightly better than the supermarket brands because it is a roasted green tea. Otherwise, it's very average tasting. I would not buy again.	0	0
		A1Q3C8EFFVBWU	Revised review	My original review was full of praise of this formula, it's still down below this one. However, I have to give the company and their formula 1 star after the events of the past week. On Feb 16th their two main formula brands, dairy and soy, both tested very high for arsenic (organic and inorganic versions). The company promised to conduct their own testing and come back with their findings. Today they got their results back from their third party laboratory, but refuse to share the findings from said laboratory. They claim that their formula upholds to the FDA regulations, but since there are no FDA regulations for arsenic in food, that really doesn't hold any merit. I really wished and hoped that the company would come back and discredit the arsenic-study, however, this in my eyes just proved that the study was correct. I am currently on the lookout for another brand of formula for my baby.<br /><br />This is my original review:<br /><br />Our daughter has been really fussy and slept really poorly when we fed her a major brand formula. We tried said major brands formula for gassy and fussiness, but she refused to drink it. Then we got this formula at a national chain healthy food store. She loves the stuff. It smells and tastes much nicer than other formulas (yes, I have tasted formula) and resembled my breastmilk better than other formulas. I wish we had known about this formula when I needed to supplement her, because she would refuse to drink other formula if she was receiving breastmilk and I think she would gladly have drank this one.<br /><br />Anyway, after 4 days on this formula, she would sleep through the night and not wake up grumping and groaning at night. We couldn't afford more cans right now, so we went back to the major brand formula yesterday, and last night she woke up 5-6 times complaining as well as waking up for a night time feed.	1	1
